Timestamp,22 Gordon Street Weather Station OAT,"London, United Kingdom Temp",Student Centre Luft WS600 OAT(act)
2026-01-23T01:00:00Z London,8.949999809265137,6.583333333333333,8.600000381469727
2026-01-23T02:00:00Z London,8.863333225250244,6,8.225000381469727
2026-01-23T03:00:00Z London,8.863333225250244,6.416666666666667,8.100000381469727
2026-01-23T04:00:00Z London,8.430000305175781,7,7.5
2026-01-23T05:00:00Z London,8.430000305175781,7,7.5
2026-01-23T06:00:00Z London,8.430000305175781,7,7.5
2026-01-23T07:00:00Z London,8.430000305175781,7,7.5
2026-01-23T08:00:00Z London,8.430000305175781,7,7.5
2026-01-23T09:00:00Z London,8.430000305175781,7,7.5
2026-01-23T10:00:00Z London,8.430000305175781,7,7.5
2026-01-23T11:00:00Z London,8.2216667731603,7,7.5
2026-01-23T12:00:00Z London,8.993333260218302,7.416666666666667,7.791666666666667
2026-01-23T13:00:00Z London,10.200833320617676,8.416666666666666,8.666666984558105
2026-01-23T14:00:00Z London,10.96750020980835,9,9.55833371480306
2026-01-23T15:00:00Z London,11.010000228881836,9,9.600000381469727
2026-01-23T16:00:00Z London,10.15999984741211,9,9.141667048136393
2026-01-23T17:00:00Z London,9.989999771118164,9,9.05833371480306
2026-01-23T18:00:00Z London,9.556666851043701,8.583333333333334,8.600000381469727
2026-01-23T19:00:00Z London,9.079999923706055,8,8.141667048136393
2026-01-23T20:00:00Z London,8.949999809265137,7.583333333333333,8.100000381469727
2026-01-23T21:00:00Z London,8.949999809265137,7.416666666666667,8.100000381469727
2026-01-23T22:00:00Z London,8.56000018119812,8,7.950000286102295
2026-01-23T23:00:00Z London,7.929999828338623,7.583333333333333,7.5
2026-01-24T00:00:00Z London,8.138333360354105,7,7.5
2026-01-24T01:00:00Z London,8.430000305175781,7,7.5
2026-01-24T02:00:00Z London,8.430000305175781,7,7.5
2026-01-24T03:00:00Z London,8.430000305175781,7,7.5
2026-01-24T04:00:00Z London,8.430000305175781,7,7.5
2026-01-24T05:00:00Z London,7.971666534741719,7,7.5
2026-01-24T06:00:00Z London,7.843333164850871,7,6.958333333333333
2026-01-24T07:00:00Z London,7.326666514078776,7,6.5
2026-01-24T08:00:00Z London,6.909999847412109,6.583333333333333,6.5
2026-01-24T09:00:00Z London,7.671666542689006,6,6.625
2026-01-24T10:00:00Z London,11.22249992688497,6,7.483333428700765
2026-01-24T11:00:00Z London,11.945000012715658,6.833333333333333,8.516667048136393
2026-01-24T12:00:00Z London,11.56250007947286,8.416666666666666,9.100000381469727
2026-01-24T13:00:00Z London,11.477500279744467,9,9.30833371480306
2026-01-24T14:00:00Z London,11.010000228881836,9,9.30833371480306
2026-01-24T15:00:00Z London,10.96750020980835,9.416666666666666,9.016667048136393
2026-01-24T16:00:00Z London,9.123333295186361,9.583333333333334,8.391667048136393
2026-01-24T17:00:00Z London,8.473333597183228,8.583333333333334,7.950000286102295
2026-01-24T18:00:00Z London,8.430000305175781,8,7.5
2026-01-24T19:00:00Z London,8.430000305175781,7.583333333333333,7.5
2026-01-24T20:00:00Z London,8.430000305175781,7,7.5
2026-01-24T21:00:00Z London,8.520000060399374,7,7.875
2026-01-24T22:00:00Z London,7.929999828338623,7,7.791666666666667
2026-01-24T23:00:00Z London,7.713333169619243,7,7.5
2026-01-25T00:00:00Z London,7.409999847412109,7,7.5
2026-01-25T01:00:00Z London,7.409999847412109,7,7.483333349227905
2026-01-25T02:00:00Z London,7.799999833106995,7,7.400000095367432
2026-01-25T03:00:00Z London,7.929999828338623,7,7.400000095367432
2026-01-25T04:00:00Z London,7.929999828338623,7,7.400000095367432
2026-01-25T05:00:00Z London,7.929999828338623,7,7.400000095367432
2026-01-25T06:00:00Z London,7.929999828338623,7,7.400000095367432
2026-01-25T07:00:00Z London,7.929999828338623,7,7.400000095367432
2026-01-25T08:00:00Z London,7.929999828338623,7,7.400000095367432
2026-01-25T09:00:00Z London,8.346666892369589,7,7.358333428700765
2026-01-25T10:00:00Z London,8.430000305175781,7,6.900000095367432
2026-01-25T11:00:00Z London,8.430000305175781,7.416666666666667,6.900000095367432
2026-01-25T12:00:00Z London,8.690000057220459,7.583333333333333,7.150000095367432
2026-01-25T13:00:00Z London,9.34000015258789,7.416666666666667,7.816666762034099
2026-01-25T14:00:00Z London,8.90666651725769,8,7.441666762034099
2026-01-25T15:00:00Z London,8.388333598772684,8,7.066666762034099
2026-01-25T16:00:00Z London,7.669999837875366,7.583333333333333,6.566666762034099
2026-01-25T17:00:00Z London,6.951666514078776,6.583333333333333,6.066666762034099
2026-01-25T18:00:00Z London,6.909999847412109,6,5.900000095367432
2026-01-25T19:00:00Z London,6.909999847412109,6,5.900000095367432
2026-01-25T20:00:00Z London,6.909999847412109,6,6.316666762034099
2026-01-25T21:00:00Z London,6.909999847412109,6,6.400000095367432
2026-01-25T22:00:00Z London,6.909999847412109,6,5.941666762034099
2026-01-25T23:00:00Z London,6.909999847412109,6,5.900000095367432
2026-01-26T00:00:00Z London,6.824999888737996,6,5.900000095367432
2026-01-26T01:00:00Z London,6.400000095367432,6,5.608333428700765
2026-01-26T02:00:00Z London,6.150000095367432,5.583333333333333,5.400000095367432
2026-01-26T03:00:00Z London,5.900000095367432,5,5.025000095367432
2026-01-26T04:00:00Z London,5.900000095367432,5,4.900000095367432
2026-01-26T05:00:00Z London,5.6875,5,4.858333428700765
2026-01-26T06:00:00Z London,5.389999866485596,4.583333333333333,4.400000095367432
2026-01-26T07:00:00Z London,5.644999980926514,4,4.483333428700765
2026-01-26T08:00:00Z London,5.900000095367432,4,4.400000095367432
2026-01-26T09:00:00Z London,5.900000095367432,4,4.400000095367432
2026-01-26T10:00:00Z London,6.191666762034099,4,4.400000095367432
