Timestamp,CIB CT Circuit Heat Meter Energy,CIB CT Circuit Heat Meter Flow,CIB CT Circuit Heat Meter Inlet Temp,CIB CT Circuit Heat Meter Outlet Temp,CIB CT Circuit Heat Meter Power,CIB Heating CT Circuit Flow Temp,CIB Heating CT Circuit Return Temp
2026-01-04T23:00:00Z London,100,1.8333333134651184,65.06666692097981,39.62749989827474,90,61.63146813710531,38.181863149007164
2026-01-05T00:00:00Z London,0,1.9166666865348816,65.37250010172527,39.647500356038414,70,61.58449618021647,38.25507799784342
2026-01-05T01:00:00Z London,100,1.925000011920929,65.95583407084148,39.437499364217125,70,61.83187961578369,38.83468532562256
2026-01-05T02:00:00Z London,0,2.0083333253860474,65.02166811625163,39.35916646321615,80,61.910163243611656,38.84892018636068
2026-01-05T03:00:00Z London,100,2.10833332935969,65.38166681925456,39.208333015441895,90,61.71601645151774,38.812313397725426
2026-01-05T04:00:00Z London,0,1.7416666746139526,65.45083491007487,39.1050001780192,70,61.52499866485596,38.554031689961754
2026-01-05T05:00:00Z London,100,2.0833333333333335,65.70083363850911,39.044999758402504,80,61.81308968861898,38.248976389567055
2026-01-05T06:00:00Z London,0,1.9000000059604645,65.6425011952718,38.995832761128746,70,61.6252056757609,37.89511171976725
2026-01-05T07:00:00Z London,100,1.975000003973643,64.94250106811523,38.409166971842446,70,61.125739415486656,37.18941116333008
2026-01-05T08:00:00Z London,400,59.59166869521141,58.95249970753988,36.87166690826416,4670,56.09488105773926,37.42328707377116
2026-01-05T09:00:00Z London,500,136.17499923706055,45.68083349863688,42.23916753133138,610,44.914146423339844,42.54811350504557
2026-01-05T10:00:00Z London,500,134.13333384195963,46.93499914805094,43.764166831970215,500,46.721140225728355,42.351295153299965
2026-01-05T11:00:00Z London,500,135.0583356221517,47.38166777292887,44.27333323160807,490,46.94591395060221,43.1093552907308
2026-01-05T12:00:00Z London,500,134.56666819254556,47.174166679382324,44.09000047047933,500,46.77843475341797,42.968318939208984
2026-01-05T13:00:00Z London,500,136.2166659037272,46.00833384195963,42.75666618347168,520,45.86392084757487,42.342485109965004
2026-01-05T14:00:00Z London,500,135.3833325703939,46.26666736602783,43.171667416890465,590,46.20989163716634,42.49894142150879
2026-01-05T15:00:00Z London,600,135.80833307902017,48.039999643961586,44.55333264668783,570,47.662099838256836,43.88724422454834
2026-01-05T16:00:00Z London,500,134.74999872843424,48.34833240509033,44.824999491373696,550,47.913316090901695,44.19795894622803
2026-01-05T17:00:00Z London,600,135.16666412353516,48.27499930063883,44.76583353678385,570,47.88026110331217,44.16930961608887
2026-01-05T18:00:00Z London,500,135.09999720255533,50.350000063578285,46.949167251586914,540,49.597619692484535,45.51353772481283
2026-01-05T19:00:00Z London,500,135.25833384195963,52.3241662979126,48.824167569478355,560,51.700934727986656,47.4637705485026
2026-01-05T20:00:00Z London,600,134.05833435058594,54.04666678110758,50.47833379109701,570,53.5320987701416,48.8542750676473
2026-01-05T21:00:00Z London,600,135.20000076293945,55.66333293914795,51.99249998728434,610,55.08961041768392,50.79489326477051
2026-01-05T22:00:00Z London,600,137.78333028157553,58.53999932607015,54.70249970753988,630,57.86704730987549,56.12539768218994
2026-01-05T23:00:00Z London,600,138.4916648864746,59.548333485921226,55.78749942779541,620,58.93352381388346,57.2916145324707
2026-01-06T00:00:00Z London,600,136.77500025431314,59.76166693369547,55.975000063578285,610,59.19950326283773,57.55759239196777
2026-01-06T01:00:00Z London,500,138.42500178019205,59.8116668065389,56.04749997456869,610,59.20973523457845,57.61897118886312
2026-01-06T02:00:00Z London,600,137.5500005086263,59.6216672261556,55.860833168029785,620,59.13300927480062,57.59339618682861
2026-01-06T03:00:00Z London,600,137.76666768391928,59.246665954589844,55.52416674296061,630,58.7033494313558,57.12793413798014
2026-01-06T04:00:00Z London,600,137.875,59.017499923706055,55.31833362579346,610,58.593376795450844,57.007731119791664
2026-01-06T05:00:00Z London,600,137.80833307902017,58.84166622161865,55.05583349863688,610,58.24555905659994,56.71361986796061
2026-01-06T06:00:00Z London,600,137.4000015258789,58.68999926249186,54.95249970753988,610,58.27624829610189,56.66503016153971
2026-01-06T07:00:00Z London,500,136.68333435058594,56.63166618347168,53.083333333333336,590,56.613878885904946,52.409362157185875
2026-01-06T08:00:00Z London,500,135.4749984741211,51.698334058125816,48.63666661580404,580,52.40680249532064,48.09741814931234
2026-01-06T09:00:00Z London,500,135.15000025431314,50.102499643961586,46.85833295186361,530,49.67062950134277,45.68101437886556
2026-01-06T10:00:00Z London,500,135.11666615804037,49.37916660308838,46.11916700998942,520,49.112101554870605,45.22045453389486
2026-01-06T11:00:00Z London,500,136.17499796549478,48.99666531880697,45.83083248138428,530,48.53474839528402,44.80396429697672
