Timestamp,CIB AHU-03 (Teaching) Filter DPS,CIB AHU-03 (Teaching) Heating Valve,CIB AHU-03 (Teaching) Off Coil Temp,CIB AHU-03 (Teaching) Supply Air Temp,CIB AHU-03 (Teaching) Supply Air Temp Setpoint,CIB AHU-03 (Teaching) Supply Fan 01 Enable,CIB AHU-03 (Teaching) Supply Fan 02 Enable,CIB AHU-03 (Teaching) Supply Fan DPS,CIB AHU-03 (Teaching) Time Schedule
2025-09-27T16:00:00+01:00 London,AAAA,0.6409889459609985,16.747783660888672,18.18967866897583,18,AAAB,AAAA,AAAB,AAAB
2025-09-27T17:00:00+01:00 London,AAAA,6.469845732053121,16.601800123850506,18.04818344116211,18,AAAB,AAAA,AAAB,AAAB
2025-09-27T18:00:00+01:00 London,AAAA,72.90547529856364,15.575403054555258,17.226172129313152,18,AAAB,AAAA,AAAB,AAAB
2025-09-27T19:00:00+01:00 London,AAAA,100,14.975740909576416,16.768003463745117,18,AAAB,AAAA,AAAB,AAAB
2025-09-27T20:00:00+01:00 London,AAAA,100,14.562488635381063,16.264909744262695,18,AAAB,AAAA,AAAB,AAAB
2025-09-27T21:00:00+01:00 London,AAAA,100,14.346877813339233,15.853904803593954,18,AAAB,AAAA,AAAB,AAAB
2025-09-27T22:00:00+01:00 London,AAAA,100,13.74945878982544,15.35754919052124,18,AAAB,AAAA,AAAB,AAAB
2025-09-27T23:00:00+01:00 London,AAAA,100,13.466470003128052,15.076806545257568,18,AAAB,AAAA,AAAB,AAAB
2025-09-28T00:00:00+01:00 London,AAAA,86.34639231363933,17.324994723002117,17.53611135482788,18,AAAB,AAAA,AAAB,AAAB
2025-09-28T01:00:00+01:00 London,AAAA,42.6160831451416,17.585521697998047,17.985299746195476,18,AAAB,AAAA,AAAB,AAAB
2025-09-28T02:00:00+01:00 London,AAAA,42.45023091634115,17.428303718566895,18.00551239649455,18,AAAB,AAAA,AAAB,AAAB
2025-09-28T03:00:00+01:00 London,AAAA,41.32218933105469,17.44178009033203,18.061660766601562,18,AAAB,AAAA,AAAB,AAAB
2025-09-28T04:00:00+01:00 London,AAAA,41.78611183166504,17.33397674560547,18.00775909423828,18,AAAB,AAAA,AAAB,AAAB
2025-09-28T05:00:00+01:00 London,AAAA,40.872348149617515,17.470979531606037,18.01898940404256,18,AAAB,AAAA,AAAB,AAAB
2025-09-28T06:00:00+01:00 London,AAAA,40.242640813191734,17.518142382303875,18.04369354248047,18,AAAB,AAAA,AAAB,AAAB
2025-09-28T07:00:00+01:00 London,AAAA,40.70124340057373,17.522633234659832,18.04593833287557,18,AAAB,AAAA,AAAB,AAAB
2025-09-28T08:00:00+01:00 London,AAAA,38.52138710021973,17.677605628967285,18.048184394836426,18,AAAB,AAAA,AAAB,AAAB
2025-09-28T09:00:00+01:00 London,AAAA,32.615552266438804,17.630438486735027,18.04818312327067,18,AAAB,AAAA,AAAB,AAAB
2025-09-28T10:00:00+01:00 London,AAAA,10.278863906860352,18.0189847946167,18.497371355692547,18,AAAB,AAAA,AAAB,AAAB
2025-09-28T11:00:00+01:00 London,AAAA,0,18.760143438975017,18.814050038655598,18,AAAB,AAAA,AAAB,AAAB
2025-09-28T12:00:00+01:00 London,AAAA,13.657262802124023,17.414827823638916,18.29074764251709,18,AAAB,AAAA,AAAB,AAAB
2025-09-28T13:00:00+01:00 London,AAAA,68.62149397532146,15.701178471247355,17.62594985961914,18,AAAB,AAAA,AAAB,AAAB
2025-09-28T14:00:00+01:00 London,AAAA,99.32243220011394,16.458061854044598,17.549584070841473,18,AAAB,AAAA,AAAB,AAAB
2025-09-28T15:00:00+01:00 London,AAAA,100,15.505784829457602,16.81741237640381,18,AAAB,AAAA,AAAB,AAAB
2025-09-28T16:00:00+01:00 London,AAAA,100,15.049857378005981,16.458062171936035,18,AAAB,AAAA,AAAB,AAAB
2025-09-28T17:00:00+01:00 London,AAAA,100,14.728687445322672,16.25143527984619,18,AAAB,AAAA,AAAB,AAAB
2025-09-28T18:00:00+01:00 London,AAAA,100,14.712964137395224,16.226726690928142,18,AAAB,AAAA,AAAB,AAAB
2025-09-28T19:00:00+01:00 London,AAAA,100,14.560237725575766,16.08074148495992,18,AAAB,AAAA,AAAB,AAAB
2025-09-28T20:00:00+01:00 London,AAAA,100,14.301959037780762,15.892082214355469,18,AAAB,AAAA,AAAB,AAAB
2025-09-28T21:00:00+01:00 London,AAAA,100,13.66860564549764,15.404715061187744,18,AAAB,AAAA,AAAB,AAAB
2025-09-28T22:00:00+01:00 London,AAAA,80.6909065246582,14.769113858540853,16.184054692586262,18,AAAB,AAAA,AAAB,AAAB
2025-09-28T23:00:00+01:00 London,AAAA,42.3790922164917,17.35418939590454,18.034709930419922,18,AAAB,AAAA,AAAB,AAAB
2025-09-29T00:00:00+01:00 London,AAAA,42.954834620157875,17.298041025797527,17.83706506093343,18,AAABAKAA,AAAAAKAB,AAAB,AAAB
2025-09-29T01:00:00+01:00 London,AAAA,46.18780326843262,17.046498616536457,17.924657980600994,18,AAAA,AAAB,AAAB,AAAB
2025-09-29T02:00:00+01:00 London,AAAA,47.55564530690511,16.89826552073161,17.97856092453003,18,AAAA,AAAB,AAAB,AAAB
2025-09-29T03:00:00+01:00 London,AAAA,50.01329803466797,17.239645957946777,17.953853607177734,18,AAAA,AAAB,AAAB,AAAB
2025-09-29T04:00:00+01:00 London,AAAA,52.37232907613119,17.318256855010986,18.070645014444988,18,AAAA,AAAB,AAAB,AAAB
2025-09-29T05:00:00+01:00 London,AAAA,53.287418047587074,17.18799098332723,17.994282722473145,18,AAAA,AAAB,AAAB,AAAB
2025-09-29T06:00:00+01:00 London,AAAA,53.37184715270996,17.172269185384113,18.043692270914715,18,AAAA,AAAB,AAAB,AAAB
2025-09-29T07:00:00+01:00 London,AAAA,55.51690101623535,17.131842613220215,17.980806350708008,18,AAAA,AAAB,AAAB,AAAB
2025-09-29T08:00:00+01:00 London,AAAA,56.74860413869222,17.239645957946777,18.059414704640705,18,AAAA,AAAB,AAAB,AAAB
2025-09-29T09:00:00+01:00 London,AAAA,51.626335779825844,17.118364651997883,18.003268241882324,18,AAAA,AAAB,AAAB,AAAB
2025-09-29T10:00:00+01:00 London,AAAA,44.04421202341715,17.172268390655518,17.96957604090373,18,AAAA,AAAB,AAAB,AAAB
2025-09-29T11:00:00+01:00 London,AAAA,35.07779121398926,17.54958724975586,17.980806350708008,18,AAAA,AAAB,AAAB,AAAB
2025-09-29T12:00:00+01:00 London,AAAA,28.08134412765503,17.064459800720215,17.92690372467041,18,AAAA,AAAB,AAAB,AAAB
2025-09-29T13:00:00+01:00 London,AAAA,42.04960346221924,16.976871013641357,18.18743308385213,18,AAAA,AAAB,AAAB,AAAB
2025-09-29T14:00:00+01:00 London,AAAA,2.5099995930989585,18.1335293451945,19.027415593465168,18,AAAA,AAAB,AAAB,AAAB
2025-09-29T15:00:00+01:00 London,AAAA,0,18.189679781595867,19.15543556213379,18,AAAA,AAAB,AAAB,AAAB
2025-09-29T16:00:00+01:00 London,AAAA,0,17.704556941986084,19.14645004272461,18,AAAA,AAAB,AAAB,AAAB
2025-09-29T17:00:00+01:00 London,AAAA,0,17.12285836537679,18.668063799540203,18,AAAA,AAAB,AAAB,AAAB
2025-09-29T18:00:00+01:00 London,AAAA,0.25947407881418866,16.604045550028484,18.22112226486206,18,AAAA,AAAB,AAAB,AAAB
2025-09-29T19:00:00+01:00 London,AAAA,15.682973345120748,16.130151748657227,17.789902687072754,18,AAAA,AAAB,AAAB,AAAB
2025-09-29T20:00:00+01:00 London,AAAA,81.38687896728516,15.784274578094482,17.468732833862305,18,AAAA,AAAB,AAAB,AAAB
2025-09-29T21:00:00+01:00 London,AAAA,100,15.353058179219564,17.055478890736897,18,AAAA,AAAB,AAAB,AAAB
2025-09-29T22:00:00+01:00 London,AAAA,100,15.018413066864014,16.79494857788086,18,AAAA,AAAB,AAAB,AAAB
