Timestamp,CIB CT Circuit Heat Meter Energy,CIB CT Circuit Heat Meter Flow,CIB CT Circuit Heat Meter Inlet Temp,CIB CT Circuit Heat Meter Outlet Temp,CIB CT Circuit Heat Meter Power
2026-01-09T03:00:00Z London,500,153.7250010172526,61.4624989827474,58.7491668065389,520
2026-01-09T04:00:00Z London,400,151.86666361490884,60.22166665395101,57.47416623433431,500
2026-01-09T05:00:00Z London,500,149.3999989827474,57.30583349863688,54.60999870300293,500
2026-01-09T06:00:00Z London,500,151.81666819254556,55.261667251586914,52.51083278656006,510
2026-01-09T07:00:00Z London,500,148.25,51.554999669392906,48.763333002726235,490
2026-01-09T08:00:00Z London,400,137.3416659037272,46.670000076293945,43.65749963124593,510
2026-01-09T09:00:00Z London,500,136.5500005086263,43.52333354949951,40.57333278656006,470
2026-01-09T10:00:00Z London,400,135.8416659037272,42.713333447774254,39.94166787465414,450
2026-01-09T11:00:00Z London,400,138.20833333333334,41.53333282470703,38.94500001271566,440
2026-01-09T12:00:00Z London,500,137.9750010172526,41.76250139872233,39.07333246866862,440
2026-01-09T13:00:00Z London,400,137.50833384195963,41.74583371480306,39.04999923706055,440
2026-01-09T14:00:00Z London,400,138.09999974568686,41.70416704813639,39.02083174387614,440
2026-01-09T15:00:00Z London,500,138.1000010172526,41.714999198913574,39.020833015441895,450
2026-01-09T16:00:00Z London,400,138.18333435058594,41.54249954223633,38.78583367665609,450
2026-01-09T17:00:00Z London,400,138.5749994913737,41.922499656677246,39.16500027974447,450
2026-01-09T18:00:00Z London,500,137.3000005086263,42.32083288828532,39.53916645050049,450
2026-01-09T19:00:00Z London,500,138.84166844685873,44.047499656677246,40.97999986012777,520
2026-01-09T20:00:00Z London,500,137.9750010172526,46.929999669392906,43.66250069936117,530
2026-01-09T21:00:00Z London,500,138.20833206176758,50.33500003814697,47.06749979654948,540
2026-01-09T22:00:00Z London,600,144.20000076293945,55.36250019073486,51.94083340962728,580
2026-01-09T23:00:00Z London,500,150.12499872843424,57.826666831970215,54.892499923706055,560
2026-01-10T00:00:00Z London,500,150.51666641235352,57.85749912261963,54.8041664759318,540
2026-01-10T01:00:00Z London,600,150.34166717529297,58.92583401997884,55.74916617075602,560
2026-01-10T02:00:00Z London,500,148.81666819254556,59.389166514078774,56.24750010172526,550
2026-01-10T03:00:00Z London,500,148.50833002726236,58.38583278656006,55.40250047047933,530
2026-01-10T04:00:00Z London,500,146.4250005086263,58.15749994913737,54.94749959309896,550
2026-01-10T05:00:00Z London,500,148.95833333333334,58.21749973297119,55.13083299001058,550
2026-01-10T06:00:00Z London,500,145.1166648864746,57.676665941874184,54.53416728973389,540
2026-01-10T07:00:00Z London,500,146.01666641235352,55.27916590372721,52.389166514078774,510
2026-01-10T08:00:00Z London,500,143.68333307902017,53.19500001271566,50.20916589101156,500
2026-01-10T09:00:00Z London,500,140.9750010172526,52.21249961853027,49.20750013987223,510
2026-01-10T10:00:00Z London,500,135.59999974568686,51.45249938964844,48.308332761128746,500
