Timestamp,Central House Luft WS10 OAT
2026-01-13T14:00:00Z London,8.041666746139526
2026-01-13T15:00:00Z London,8.583333333333334
2026-01-13T16:00:00Z London,8.641666571299234
2026-01-13T17:00:00Z London,8.383333047231039
2026-01-13T18:00:00Z London,7.991666754086812
2026-01-13T19:00:00Z London,7.675000071525574
2026-01-13T20:00:00Z London,6.433333357175191
2026-01-13T21:00:00Z London,6.074999968210856
2026-01-13T22:00:00Z London,5.358333309491475
2026-01-13T23:00:00Z London,4.775000095367432
2026-01-14T00:00:00Z London,4.450000007947286
2026-01-14T01:00:00Z London,4.041666607062022
2026-01-14T02:00:00Z London,3.1583333214124045
2026-01-14T03:00:00Z London,2.3083333174387612
2026-01-14T04:00:00Z London,1.8416666686534882
2026-01-14T05:00:00Z London,1.5666666825612385
2026-01-14T06:00:00Z London,1.3583333492279053
2026-01-14T07:00:00Z London,1.6833333373069763
2026-01-14T08:00:00Z London,1.5333333313465118
2026-01-14T09:00:00Z London,2.0166666507720947
2026-01-14T10:00:00Z London,2.7916666666666665
2026-01-14T11:00:00Z London,3.966666658719381
2026-01-14T12:00:00Z London,4.4916666348775225
2026-01-14T13:00:00Z London,5.875
2026-01-14T14:00:00Z London,6.083333293596904
2026-01-14T15:00:00Z London,5.925000071525574
2026-01-14T16:00:00Z London,5.691666642824809
2026-01-14T17:00:00Z London,5.425000071525574
2026-01-14T18:00:00Z London,5.733333349227905
2026-01-14T19:00:00Z London,6.358333349227905
2026-01-14T20:00:00Z London,7.116666674613953
2026-01-14T21:00:00Z London,7.616666674613953
2026-01-14T22:00:00Z London,7.916666746139526
2026-01-14T23:00:00Z London,8.016666769981384
2026-01-15T00:00:00Z London,7.900000095367432
2026-01-15T01:00:00Z London,7.299999992052714
2026-01-15T02:00:00Z London,6.324999968210856
2026-01-15T03:00:00Z London,6.291666706403096
2026-01-15T04:00:00Z London,6.34166677792867
2026-01-15T05:00:00Z London,6.583333253860474
2026-01-15T06:00:00Z London,7.0083333651224775
2026-01-15T07:00:00Z London,7.224999904632568
2026-01-15T08:00:00Z London,7.1249998807907104
2026-01-15T09:00:00Z London,7.108333230018616
2026-01-15T10:00:00Z London,6.6333333651224775
2026-01-15T11:00:00Z London,6.333333373069763
2026-01-15T12:00:00Z London,6.65833322207133
2026-01-15T13:00:00Z London,6.766666730244954
2026-01-15T14:00:00Z London,6.78333334128062
2026-01-15T15:00:00Z London,6.958333373069763
2026-01-15T16:00:00Z London,7.066666603088379
2026-01-15T17:00:00Z London,7.2416666348775225
2026-01-15T18:00:00Z London,7.275000095367432
2026-01-15T19:00:00Z London,7.308333436648051
2026-01-15T20:00:00Z London,6.391666650772095
2026-01-15T21:00:00Z London,5.1583333015441895
2026-01-15T22:00:00Z London,4.808333357175191
2026-01-15T23:00:00Z London,4.625
2026-01-16T00:00:00Z London,4.074999968210856
2026-01-16T01:00:00Z London,4.1166666348775225
2026-01-16T02:00:00Z London,3.716666658719381
2026-01-16T03:00:00Z London,3.324999968210856
2026-01-16T04:00:00Z London,3.374999980131785
2026-01-16T05:00:00Z London,3.9583333333333335
2026-01-16T06:00:00Z London,4.416666626930237
2026-01-16T07:00:00Z London,4.8500001430511475
2026-01-16T08:00:00Z London,5.149999936421712
2026-01-16T09:00:00Z London,5.308333357175191
2026-01-16T10:00:00Z London,6.074999928474426
2026-01-16T11:00:00Z London,6.825000047683716
2026-01-16T12:00:00Z London,7.383333325386047
2026-01-16T13:00:00Z London,7.649999936421712
2026-01-16T14:00:00Z London,7.666666626930237
2026-01-16T15:00:00Z London,7.541666626930237
2026-01-16T16:00:00Z London,7.049999992052714
2026-01-16T17:00:00Z London,6.866666754086812
2026-01-16T18:00:00Z London,6.699999849001567
2026-01-16T19:00:00Z London,6.5
2026-01-16T20:00:00Z London,6.0333333015441895
2026-01-16T21:00:00Z London,5.850000103314717
2026-01-16T22:00:00Z London,5.708333174387614
2026-01-16T23:00:00Z London,5.816666682561238
2026-01-17T00:00:00Z London,5.9666666984558105
2026-01-17T01:00:00Z London,6.108333230018616
2026-01-17T02:00:00Z London,6.074999928474426
2026-01-17T03:00:00Z London,6.191666483879089
2026-01-17T04:00:00Z London,6.308333516120911
2026-01-17T05:00:00Z London,6.199999849001567
2026-01-17T06:00:00Z London,6.2416666348775225
2026-01-17T07:00:00Z London,6.366666754086812
2026-01-17T08:00:00Z London,6.549999952316284
2026-01-17T09:00:00Z London,6.841666738192241
2026-01-17T10:00:00Z London,7.333333333333333
2026-01-17T11:00:00Z London,8.025000015894571
2026-01-17T12:00:00Z London,8.391666730244955
2026-01-17T13:00:00Z London,8.483333349227905
2026-01-17T14:00:00Z London,8.875
2026-01-17T15:00:00Z London,8.458333253860474
2026-01-17T16:00:00Z London,8.06666668256124
2026-01-17T17:00:00Z London,7.833333333333333
2026-01-17T18:00:00Z London,7.1833332777023315
2026-01-17T19:00:00Z London,6.84166677792867
2026-01-17T20:00:00Z London,6.424999912579854
2026-01-17T21:00:00Z London,6.099999984105428
2026-01-17T22:00:00Z London,5.358333349227905
2026-01-17T23:00:00Z London,4.575000087420146
2026-01-18T00:00:00Z London,5.258333325386047
2026-01-18T01:00:00Z London,5.483333349227905
2026-01-18T02:00:00Z London,5.475000023841858
2026-01-18T03:00:00Z London,5.291666746139526
2026-01-18T04:00:00Z London,5.2583333651224775
2026-01-18T05:00:00Z London,5.325000047683716
2026-01-18T06:00:00Z London,5.549999952316284
2026-01-18T07:00:00Z London,5.641666650772095
2026-01-18T08:00:00Z London,5.875
2026-01-18T09:00:00Z London,6.024999976158142
2026-01-18T10:00:00Z London,6.450000047683716
2026-01-18T11:00:00Z London,6.741666595141093
2026-01-18T12:00:00Z London,8.00000003973643
2026-01-18T13:00:00Z London,8.974999984105429
2026-01-18T14:00:00Z London,9.641666650772095
2026-01-18T15:00:00Z London,9.775000015894571
2026-01-18T16:00:00Z London,9.524999936421713
2026-01-18T17:00:00Z London,9.3166663646698
2026-01-18T18:00:00Z London,8.641666650772095
2026-01-18T19:00:00Z London,8.641666889190674
2026-01-18T20:00:00Z London,8.12500011920929
2026-01-18T21:00:00Z London,7.683333198229472
2026-01-18T22:00:00Z London,7.866666714350383
2026-01-18T23:00:00Z London,7.508333404858907
2026-01-19T00:00:00Z London,7.2416666348775225
2026-01-19T01:00:00Z London,7.400000095367432
2026-01-19T02:00:00Z London,7.475000023841858
2026-01-19T03:00:00Z London,7.566666642824809
2026-01-19T04:00:00Z London,7.566666603088379
2026-01-19T05:00:00Z London,7.224999864896138
2026-01-19T06:00:00Z London,6.475000063578288
2026-01-19T07:00:00Z London,6.783333381017049
2026-01-19T08:00:00Z London,7.0916666984558105
2026-01-19T09:00:00Z London,7.483333349227905
2026-01-19T10:00:00Z London,7.858333388964335
2026-01-19T11:00:00Z London,8.21666677792867
2026-01-19T12:00:00Z London,7.975000063578288
2026-01-19T13:00:00Z London,8.383333285649618
2026-01-19T14:00:00Z London,8.849999984105429
2026-01-19T15:00:00Z London,9.09166685740153
2026-01-19T16:00:00Z London,8.966666539510092
2026-01-19T17:00:00Z London,8.916666348775228
2026-01-19T18:00:00Z London,8.675000111262003
2026-01-19T19:00:00Z London,7.991666754086812
2026-01-19T20:00:00Z London,7.8083334763844805
2026-01-19T21:00:00Z London,8.008333404858908
2026-01-19T22:00:00Z London,8.008333365122477
2026-01-19T23:00:00Z London,8.15833330154419
2026-01-20T00:00:00Z London,7.8416666984558105
2026-01-20T01:00:00Z London,7.641666531562805
2026-01-20T02:00:00Z London,7.591666579246521
2026-01-20T03:00:00Z London,7.7166666984558105
2026-01-20T04:00:00Z London,7.525000015894572
2026-01-20T05:00:00Z London,7.199999968210856
2026-01-20T06:00:00Z London,7.041666626930237
2026-01-20T07:00:00Z London,7.191666563351949
2026-01-20T08:00:00Z London,7.024999976158142
2026-01-20T09:00:00Z London,7.008333325386047
